Index,State,Program,Sub-Program,Abbreviation,Target Age Min,Target Age Max,Clearhouse Rating,State Title-IV Spending,Federal Matching,Date Info Was Provided,Project Relevance,Note 1,Note 2,Plan URL
23,Colorado,Nurse Family Partnership,,NFP,,,Well-Supported,,,10/14/25,Low,,,https://drive.google.com/file/d/1wIv--VG7w0or76lrJ0ME_8iGXQK0p1li/view
24,Colorado,Parent-Child Interaction Therapy,,PCIT,2,7,Well-Supported,,"$2,500",10/14/25,Mid,,,https://drive.google.com/file/d/1wIv--VG7w0or76lrJ0ME_8iGXQK0p1li/view
25,Colorado,Parents as Teachers,,PAT,0,3,Well-Supported,,,10/14/25,Low,,,https://drive.google.com/file/d/1wIv--VG7w0or76lrJ0ME_8iGXQK0p1li/view
26,Colorado,SafeCare,,SC,0,5,Supported,,"$25,000",10/14/25,Low,,,https://drive.google.com/file/d/1wIv--VG7w0or76lrJ0ME_8iGXQK0p1li/view
27,Colorado,Child First,,CF,0,5,Supported,,"$60,000",10/14/25,Low,,,https://drive.google.com/file/d/1wIv--VG7w0or76lrJ0ME_8iGXQK0p1li/view
28,Colorado,Fostering Healthy Futures,Preteen,FHF-P,9,11,Supported,,,,Mid,,,https://drive.google.com/file/d/1wIv--VG7w0or76lrJ0ME_8iGXQK0p1li/view
29,Connecticut,Functional Family Therapy,,FFT,11,18,Well-Supported,,,,High,,,https://portal.ct.gov/-/media/dcf/ctfamilyfirst/pdf/state-of-connecticut-family-first-plan-january-2022_final.pdf
30,Connecticut,Multisystemic Therapy,,MST,12,17,Well-Supported,,,,High,,,https://portal.ct.gov/-/media/dcf/ctfamilyfirst/pdf/state-of-connecticut-family-first-plan-january-2022_final.pdf
31,Connecticut,Brief Strategic Family Therapy,,BSFT,6,17,Well-Supported,,,,High,,,https://portal.ct.gov/-/media/dcf/ctfamilyfirst/pdf/state-of-connecticut-family-first-plan-january-2022_final.pdf
32,Connecticut,Parent-Child Interaction Therapy,,PCIT,2,7,Well-Supported,,,,Mid,,,https://portal.ct.gov/-/media/dcf/ctfamilyfirst/pdf/state-of-connecticut-family-first-plan-january-2022_final.pdf
33,Connecticut,Nurse Family Partnership,,NFP,,,Well-Supported,,,,Low,,,https://portal.ct.gov/-/media/dcf/ctfamilyfirst/pdf/state-of-connecticut-family-first-plan-january-2022_final.pdf
34,Connecticut,Parents as Teachers,,PAT,0,3,Well-Supported,,,,Low,,,https://portal.ct.gov/-/media/dcf/ctfamilyfirst/pdf/state-of-connecticut-family-first-plan-january-2022_final.pdf
35,Connecticut,Healthy Families America,,HFA,0,2,Well-Supported,,,,Low,,,https://portal.ct.gov/-/media/dcf/ctfamilyfirst/pdf/state-of-connecticut-family-first-plan-january-2022_final.pdf
36,DC,Parents as Teachers,,PAT,0,3,Well-Supported,,,,Low,,,https://cfsa.dc.gov/sites/default/files/dc/sites/cfsa/publication/attachments/DC%20CFSA%20Family%20First%20Prevention%20Plan%20Updated%20Dec%202023_Amendment%202.pdf
37,DC,Healthy Families America,,HFA,0,2,Well-Supported,,,,Low,,,https://cfsa.dc.gov/sites/default/files/dc/sites/cfsa/publication/attachments/DC%20CFSA%20Family%20First%20Prevention%20Plan%20Updated%20Dec%202023_Amendment%202.pdf
38,DC,Chicago Parenting Program,,CPP,2,8,Does Not Currently Meet Criteria,,,,Low,,,https://cfsa.dc.gov/sites/default/files/dc/sites/cfsa/publication/attachments/DC%20CFSA%20Family%20First%20Prevention%20Plan%20Updated%20Dec%202023_Amendment%202.pdf
39,DC,Effective Black Parenting Program,,EBPP,0,17,Promising,,,,Mid,,,https://cfsa.dc.gov/sites/default/files/dc/sites/cfsa/publication/attachments/DC%20CFSA%20Family%20First%20Prevention%20Plan%20Updated%20Dec%202023_Amendment%202.pdf
40,DC,ACT: Raising Safe Kids,,ACT,0,10,N/A,,,,Low,,,https://cfsa.dc.gov/sites/default/files/dc/sites/cfsa/publication/attachments/DC%20CFSA%20Family%20First%20Prevention%20Plan%20Updated%20Dec%202023_Amendment%202.pdf
41,DC,YVLifeset,,YVL,,18,N/A,,,,Low,,,https://cfsa.dc.gov/sites/default/files/dc/sites/cfsa/publication/attachments/DC%20CFSA%20Family%20First%20Prevention%20Plan%20Updated%20Dec%202023_Amendment%202.pdf
42,DC,Transition to Independence,,TIP,16,26,N/A,,,,High,,,https://cfsa.dc.gov/sites/default/files/dc/sites/cfsa/publication/attachments/DC%20CFSA%20Family%20First%20Prevention%20Plan%20Updated%20Dec%202023_Amendment%202.pdf
43,DC,Project Connect,,,18,,N/A,,,,Low,,,https://cfsa.dc.gov/sites/default/files/dc/sites/cfsa/publication/attachments/DC%20CFSA%20Family%20First%20Prevention%20Plan%20Updated%20Dec%202023_Amendment%202.pdf
44,DC,Recovery Coaches48,Connecticut Center for Addiction and Recovery certification,CCAR,,,N/A,,,,Low,,,https://cfsa.dc.gov/sites/default/files/dc/sites/cfsa/publication/attachments/DC%20CFSA%20Family%20First%20Prevention%20Plan%20Updated%20Dec%202023_Amendment%202.pdf
45,DC,Adolescent Community Reinforcement Approach,,A-CRA,12,24,Supported,,,,Mid,,,https://cfsa.dc.gov/sites/default/files/dc/sites/cfsa/publication/attachments/DC%20CFSA%20Family%20First%20Prevention%20Plan%20Updated%20Dec%202023_Amendment%202.pdf
46,DC,Multisystemic Therapy,,MST,12,18,Well-Supported,,,,High,,,https://cfsa.dc.gov/sites/default/files/dc/sites/cfsa/publication/attachments/DC%20CFSA%20Family%20First%20Prevention%20Plan%20Updated%20Dec%202023_Amendment%202.pdf
47,DC,Trauma-Focused Cognitive Behavioral Therapy,,TF-CBT,3,18,Promising,,,,High,,,https://cfsa.dc.gov/sites/default/files/dc/sites/cfsa/publication/attachments/DC%20CFSA%20Family%20First%20Prevention%20Plan%20Updated%20Dec%202023_Amendment%202.pdf
48,DC,Functional Family Therapy,,,11,18,Well-Supported,,,,Mid,,,https://cfsa.dc.gov/sites/default/files/dc/sites/cfsa/publication/attachments/DC%20CFSA%20Family%20First%20Prevention%20Plan%20Updated%20Dec%202023_Amendment%202.pdf
49,DC,Parent-Child Interaction Therapy,,PCIT,2,7,Well-Supported,,,,Mid,,,https://cfsa.dc.gov/sites/default/files/dc/sites/cfsa/publication/attachments/DC%20CFSA%20Family%20First%20Prevention%20Plan%20Updated%20Dec%202023_Amendment%202.pdf
50,DC,Parents Anonymous,,,0,18,Supported,,,,Mid,,,https://cfsa.dc.gov/sites/default/files/dc/sites/cfsa/publication/attachments/DC%20CFSA%20Family%20First%20Prevention%20Plan%20Updated%20Dec%202023_Amendment%202.pdf
51,DC,Motivational Interviewing,,MI,,,Well-Supported,,,,Mid,,,https://cfsa.dc.gov/sites/default/files/dc/sites/cfsa/publication/attachments/DC%20CFSA%20Family%20First%20Prevention%20Plan%20Updated%20Dec%202023_Amendment%202.pdf
52,Delaware,Brief Strategic Family Therapy,,BSFT,6,17,Well-Supported,0,0,10/24/25,High,,,
53,Delaware,Family Check-Up,,FCU,2,17,Well-Supported,0,0,10/24/25,Mid,,,
54,Delaware,Functional Family Therapy,,FFT,11,18,Well-Supported,0,0,10/24/25,High,,,
55,Delaware,Homebuilders,,HB,0,18,Well-Supported,0,0,10/24/25,Mid,,,
56,Delaware,Intercept,,,0,18,Well-Supported,0,0,10/24/25,High,,,
57,Delaware,Motivational Interviewing,Substance Use Treatment,MI,,,Well-Supported,0,0,10/24/25,Mid,,,
58,Florida,Homebuilders,,HB,0,18,Well-Supported,,,,Mid,,,https://www.myflfamilies.com/sites/default/files/2025-04/2021-2026%20Florida%27s%20Family%20First%20Prevention%20Plan.pdf
59,Florida,Motivational Interviewing,,MI,,,Well-Supported,,,,Mid,,,https://www.myflfamilies.com/sites/default/files/2025-04/2021-2026%20Florida%27s%20Family%20First%20Prevention%20Plan.pdf
60,Florida,Healthy Families America,,HFA,0,2,Well-Supported,,,,Low,,,https://www.myflfamilies.com/sites/default/files/2025-04/2021-2026%20Florida%27s%20Family%20First%20Prevention%20Plan.pdf
61,Florida,Functional Family Therapy,,FFT,11,18,Well-Supported,,,,High,,,https://www.myflfamilies.com/sites/default/files/2025-04/2021-2026%20Florida%27s%20Family%20First%20Prevention%20Plan.pdf
62,Florida,Brief Strategic Family Therapy,,BSFT,6,17,Well-Supported,,,,High,,,https://www.myflfamilies.com/sites/default/files/2025-04/2021-2026%20Florida%27s%20Family%20First%20Prevention%20Plan.pdf
63,Florida,Multisystemic Therapy,,MST,12,18,Well-Supported,,,,High,,,https://www.myflfamilies.com/sites/default/files/2025-04/2021-2026%20Florida%27s%20Family%20First%20Prevention%20Plan.pdf
64,Florida,Nurse Family Partnership,,NFP,,,Well-Supported,,,,Low,,,https://www.myflfamilies.com/sites/default/files/2025-04/2021-2026%20Florida%27s%20Family%20First%20Prevention%20Plan.pdf
65,Florida,Parent-Child Interaction Therapy,,PCIT,2,7,Well-Supported,,,,Mid,,,https://www.myflfamilies.com/sites/default/files/2025-04/2021-2026%20Florida%27s%20Family%20First%20Prevention%20Plan.pdf
66,Florida,Parents as Teachers,,PAT,0,3,Well-Supported,,,,Low,,,https://www.myflfamilies.com/sites/default/files/2025-04/2021-2026%20Florida%27s%20Family%20First%20Prevention%20Plan.pdf
67,Georgia,Brief Strategic Family Therapy,,BSFT,6,17,Well-Supported,$0.00,$0.00,10/17/2025,High,I obtained federal matching amount by calculating 50% of the state spending they disclosed,,https://dfcs.georgia.gov/about-us/blueprint-family-first/prevention-services-plan
68,Georgia,Functional Family Therapy,,FFT,11,18,Well-Supported,"$1,471,830.80","$735,915.40",10/17/2025,High,I obtained federal matching amount by calculating 50% of the state spending they disclosed,,https://dfcs.georgia.gov/about-us/blueprint-family-first/prevention-services-plan
69,Georgia,Healthy Families America,,HFA,0,2,Well-Supported,$0.00,$0.00,10/17/2025,Low,I obtained federal matching amount by calculating 50% of the state spending they disclosed,,https://dfcs.georgia.gov/about-us/blueprint-family-first/prevention-services-plan
70,Georgia,Intercept,,,,,Well-Supported,"$776,032.54","$388,016.27",10/17/2025,High,I obtained federal matching amount by calculating 50% of the state spending they disclosed,,https://dfcs.georgia.gov/about-us/blueprint-family-first/prevention-services-plan
71,Georgia,Multisystemic Therapy,,MST,12,17,Well-Supported,"$1,547,193.00","$773,596.50",10/17/2025,High,I obtained federal matching amount by calculating 50% of the state spending they disclosed,,https://dfcs.georgia.gov/about-us/blueprint-family-first/prevention-services-plan
72,Georgia,Parents as Teachers,,PAT,0,3,Well-Supported,"$303,861.74","$151,930.87",10/17/2025,Low,I obtained federal matching amount by calculating 50% of the state spending they disclosed,,https://dfcs.georgia.gov/about-us/blueprint-family-first/prevention-services-plan
73,Hawai'i,Homebuilders,,HB,0,18,Well-Supported,,,,Mid,,,https://humanservices.hawaii.gov/wp-content/uploads/2021/10/Family-First-Hawaii_FFPSA-Plan_Final-May21_PDF-2.pdf
74,Hawai'i,Parents as Teachers,,PAT,0,3,Well-Supported,,,,Low,,,https://humanservices.hawaii.gov/wp-content/uploads/2021/10/Family-First-Hawaii_FFPSA-Plan_Final-May21_PDF-2.pdf
75,Hawai'i,Healthy Families America,,HFA,0,2,Well-Supported,,,,Low,,,https://humanservices.hawaii.gov/wp-content/uploads/2021/10/Family-First-Hawaii_FFPSA-Plan_Final-May21_PDF-2.pdf
76,Hawai'i,Motivational Interviewing,,MI,,,Well-Supported,,,,Mid,,,https://humanservices.hawaii.gov/wp-content/uploads/2021/10/Family-First-Hawaii_FFPSA-Plan_Final-May21_PDF-2.pdf
77,Idaho,Brief Strategic Family Therapy,,BSFT,6,17,Well-Supported,0,0,12/8/2025,High,"Thus far, none of these programs have received Title IV-E reimbursement funds, but have been funded through other mechanisms like Medicaid and MIECHV.",,https://publicdocuments.dhw.idaho.gov/WebLink/DocView.aspx?id=25166&dbid=0&repo=PUBLIC-DOCUMENTS&cr=1
78,Idaho,Parent-Child Interaction Therapy,,PCIT,2,7,Well-Supported,0,0,12/8/2025,Mid,"Thus far, none of these programs have received Title IV-E reimbursement funds, but have been funded through other mechanisms like Medicaid and MIECHV.",,https://publicdocuments.dhw.idaho.gov/WebLink/DocView.aspx?id=25166&dbid=0&repo=PUBLIC-DOCUMENTS&cr=1
79,Idaho,Familias Unidas,,FU,12,16,Well-Supported,0,0,12/8/2025,High,"Thus far, none of these programs have received Title IV-E reimbursement funds, but have been funded through other mechanisms like Medicaid and MIECHV.",,https://publicdocuments.dhw.idaho.gov/WebLink/DocView.aspx?id=25166&dbid=0&repo=PUBLIC-DOCUMENTS&cr=1
80,Idaho,Motivational Interviewing,,MI,,,Well-Supported,0,0,12/8/2025,Mid,"Thus far, none of these programs have received Title IV-E reimbursement funds, but have been funded through other mechanisms like Medicaid and MIECHV.",,https://publicdocuments.dhw.idaho.gov/WebLink/DocView.aspx?id=25166&dbid=0&repo=PUBLIC-DOCUMENTS&cr=1
81,Idaho,Homebuilders,,HB,0,18,Well-Supported,0,0,12/8/2025,Mid,"Thus far, none of these programs have received Title IV-E reimbursement funds, but have been funded through other mechanisms like Medicaid and MIECHV.",,https://publicdocuments.dhw.idaho.gov/WebLink/DocView.aspx?id=25166&dbid=0&repo=PUBLIC-DOCUMENTS&cr=1
82,Idaho,Nurse Family Partnership,,NFP,,,Well-Supported,0,0,12/8/2025,Low,"Thus far, none of these programs have received Title IV-E reimbursement funds, but have been funded through other mechanisms like Medicaid and MIECHV.",,https://publicdocuments.dhw.idaho.gov/WebLink/DocView.aspx?id=25166&dbid=0&repo=PUBLIC-DOCUMENTS&cr=1
83,Idaho,Parents as Teachers,,PAT,0,3,Well-Supported,0,0,12/8/2025,Low,"Thus far, none of these programs have received Title IV-E reimbursement funds, but have been funded through other mechanisms like Medicaid and MIECHV.",,https://publicdocuments.dhw.idaho.gov/WebLink/DocView.aspx?id=25166&dbid=0&repo=PUBLIC-DOCUMENTS&cr=1
84,Illinois,Multisystemic Therapy,,MST,12,17,Well-Supported,,,,High,,,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/documents/illinois_dcfs_title_iv-e_family_first_prevention_plan_102621.1.0.pdf
85,Illinois,Seeking Safety,,,,,Does Not Currently Meet Criteria,,,,High,,,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/documents/illinois_dcfs_title_iv-e_family_first_prevention_plan_102621.1.0.pdf
86,Illinois,Trauma-Focused Cognitive Behavioral Therapy,,TF-CBT,3,18,Promising,,,,High,,,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/documents/illinois_dcfs_title_iv-e_family_first_prevention_plan_102621.1.0.pdf
87,Illinois,Child-Parent Psychotherapy,,CPP,0,5,Promising,,,,Low,,,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/documents/illinois_dcfs_title_iv-e_family_first_prevention_plan_102621.1.0.pdf
88,Illinois,Wraparound,,,4,7,N/A,,,,Low,,,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/documents/illinois_dcfs_title_iv-e_family_first_prevention_plan_102621.1.0.pdf
89,Illinois,Healthy Families America,,HFA,0,2,Well-Supported,,,,Low,,,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/documents/illinois_dcfs_title_iv-e_family_first_prevention_plan_102621.1.0.pdf
90,Illinois,Parents as Teachers,,PAT,0,3,Well-Supported,,,,Low,,,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/documents/illinois_dcfs_title_iv-e_family_first_prevention_plan_102621.1.0.pdf
91,Illinois,Positive Parenting Program,Standard Level 4,Triple P,0,12,Promising,,,,Mid,,,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/documents/illinois_dcfs_title_iv-e_family_first_prevention_plan_102621.1.0.pdf
92,Illinois,Nurturing Parenting Program,,NPP,5,12,Does Not Currently Meet Criteria,,,,Low,,,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/documents/illinois_dcfs_title_iv-e_family_first_prevention_plan_102621.1.0.pdf
93,Illinois,Motivational Interviewing,,MI,,,Well-Supported,,,,Mid,,,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/documents/illinois_dcfs_title_iv-e_family_first_prevention_plan_102621.1.0.pdf
94,Illinois,Solution-Based Casework,,SBC,0,17,N/A,,,,Mid,,,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/documents/illinois_dcfs_title_iv-e_family_first_prevention_plan_102621.1.0.pdf
95,Indiana,Healthy Families America,,HFA,0,2,Well-Supported,,,,Low,,,https://www.in.gov/dcs/files/Indiana-Prevention-Plan.pdf
96,Indiana,Functional Family Therapy,,FFT,11,18,Well-Supported,,,,High,,,https://www.in.gov/dcs/files/Indiana-Prevention-Plan.pdf
97,Indiana,Trauma-Focused Cognitive Behavioral Therapy,,TF-CBT,3,18,Promising,,,,High,,,https://www.in.gov/dcs/files/Indiana-Prevention-Plan.pdf
98,Indiana,Motivational Interviewing,,MI,,,Well-Supported,,,,Mid,,,https://www.in.gov/dcs/files/Indiana-Prevention-Plan.pdf
99,Indiana,Parents as Teachers,,PAT,0,3,Well-Supported,,,,Low,,,https://www.in.gov/dcs/files/Indiana-Prevention-Plan.pdf
100,Iowa,Kinship Navigator Services,,,,,Promising,"$1,500,000","$1,700,000",10/3/25,Low,,,https://hhs.iowa.gov/media/9252/download?inline=
101,Iowa,SafeCare,,SC,0,5,Supported,"$1,000,000","$1,400,000",10/3/25,Low,,,https://hhs.iowa.gov/media/9252/download?inline=
102,Iowa,Motivational Interviewing,,MI,,,Well-Supported,"$6,200,000","$19,000,000",10/3/25,Mid,,,https://hhs.iowa.gov/media/9252/download?inline=
103,Kansas,Adolescent Community Reinforcement Approach,,ACRA,12,24,Promising,"$15,304","$8,592",,,Data provided by PIO but contradicts plan,,https://www.dcf.ks.gov/services/PPS/Documents/CFSR/Approved%20Kansas%20Final%202025%20Title%20IV-E%20Prevention%20Plan.pdf
104,Kansas,Sobriety Treatment and Recovery Teams,,START,5,,Supported,"$544,638","$637,227",12/19/25,,Data provided by PIO but contradicts plan,,https://www.dcf.ks.gov/services/PPS/Documents/CFSR/Approved%20Kansas%20Final%202025%20Title%20IV-E%20Prevention%20Plan.pdf
105,Kansas,Multisystemic Therapy,,MST,12,17,Well-Supported,"$7,164,484","$9,559,500",12/19/25,,"Kansas data provided through public information officer, but contradicts FFA plan listed online",,https://www.dcf.ks.gov/services/PPS/Documents/CFSR/Approved%20Kansas%20Final%202025%20Title%20IV-E%20Prevention%20Plan.pdf
106,Kansas,Parent Child Interaction Therapy,,PCIT,2,7,Well-Supported,"$2,906,451","$3,878,048",12/19/25,,Data provided by PIO but contradicts plan,,https://www.dcf.ks.gov/services/PPS/Documents/CFSR/Approved%20Kansas%20Final%202025%20Title%20IV-E%20Prevention%20Plan.pdf
107,Kansas,Family Centered Treatment,,FCT,0,17,Supported,"$7,697,969","$10,271,323",12/19/25,,Data provided by PIO but contradicts plan,,https://www.dcf.ks.gov/services/PPS/Documents/CFSR/Approved%20Kansas%20Final%202025%20Title%20IV-E%20Prevention%20Plan.pdf
108,Kansas,Family Check-Up,,FCU,2,17,Well-Supported,"$106,039","$124,065",12/19/25,,Data provided by PIO but contradicts plan,,https://www.dcf.ks.gov/services/PPS/Documents/CFSR/Approved%20Kansas%20Final%202025%20Title%20IV-E%20Prevention%20Plan.pdf
109,Kansas,Healthy Families America,Signature Model & Child Welfare Protocols,HFA,0,5,Well-Supported,"$4,533,323","$6,048,768",12/19/25,,Data provided by PIO but contradicts plan,,https://www.dcf.ks.gov/services/PPS/Documents/CFSR/Approved%20Kansas%20Final%202025%20Title%20IV-E%20Prevention%20Plan.pdf
110,Kansas,Parents as Teachers,,PAT,0,3,Well-Supported,"$2,109,646","$2,814,880",12/19/25,,Data provided by PIO but contradicts plan,,https://www.dcf.ks.gov/services/PPS/Documents/CFSR/Approved%20Kansas%20Final%202025%20Title%20IV-E%20Prevention%20Plan.pdf
111,Kentucky,Functional Family Therapy,,FFT,11,18,Well-Supported,,,,High,,,https://www.chfs.ky.gov/agencies/dcbs/dpp/pb/Documents/KentuckyCHFSPreventionPlan.pdf
112,Kentucky,High-Fidelity Wraparound,,,0,21,Promising,,,,High,,,https://www.chfs.ky.gov/agencies/dcbs/dpp/pb/Documents/KentuckyCHFSPreventionPlan.pdf
113,Kentucky,Motivational Interviewing,,MI,,,Well-Supported,,,,Mid,,,https://www.chfs.ky.gov/agencies/dcbs/dpp/pb/Documents/KentuckyCHFSPreventionPlan.pdf
114,Kentucky,Multisystemic Therapy,,MST,12,18,Well-Supported,,,,High,,,https://www.chfs.ky.gov/agencies/dcbs/dpp/pb/Documents/KentuckyCHFSPreventionPlan.pdf
115,Kentucky,Parent-Child Interaction Therapy,,PCIT,2,7,Well-Supported,,,,Mid,,,https://www.chfs.ky.gov/agencies/dcbs/dpp/pb/Documents/KentuckyCHFSPreventionPlan.pdf
116,Kentucky,Trauma Focused Cognitive Behavioral Therapy,,TF-CBT,5,17,Promising,,,,High,,,https://www.chfs.ky.gov/agencies/dcbs/dpp/pb/Documents/KentuckyCHFSPreventionPlan.pdf
117,Kentucky,Multisystemic Therapy,,MST,12,18,Well-Supported,,,,High,,,https://www.chfs.ky.gov/agencies/dcbs/dpp/pb/Documents/KentuckyCHFSPreventionPlan.pdf
118,Kentucky,Sobriety Treatment and Recovery Team (START),,,0,5,Supported,,,,Low,,,https://www.chfs.ky.gov/agencies/dcbs/dpp/pb/Documents/KentuckyCHFSPreventionPlan.pdf
119,Kentucky,Homebuilders,,,0,18,Well-Supported,,,,Mid,,,https://www.chfs.ky.gov/agencies/dcbs/dpp/pb/Documents/KentuckyCHFSPreventionPlan.pdf
120,Kentucky,Intercept,,,0,18,Well-Supported,,,,High,,,https://www.chfs.ky.gov/agencies/dcbs/dpp/pb/Documents/KentuckyCHFSPreventionPlan.pdf
121,Louisiana,Intercept,,,0,18,Well-Supported,,,,High,,,https://www.dcfs.louisiana.gov/assets/docs/LA-FFPSA-FFY2023-final-approved-report.pdf
122,Louisiana,Child First,,CF,0,5,Supported,,,,Low,,,https://www.dcfs.louisiana.gov/assets/docs/LA-FFPSA-FFY2023-final-approved-report.pdf
123,Maine,Methadone Maintenance Therapy,,MMT,,,Promising,,,,Low,Targets youth 18 or older; OR under 18 with parent consent,,https://www.maine.gov/dhhs/sites/maine.gov.dhhs/files/inline-files/Maine%20Family%20First%20Prevention%20Services%20State%20Plan%20FINAL%202.1.2021.pdf
124,Maine,Functional Family Therapy,,FFT,11,18,Well-Supported,,,,High,,,https://www.maine.gov/dhhs/sites/maine.gov.dhhs/files/inline-files/Maine%20Family%20First%20Prevention%20Services%20State%20Plan%20FINAL%202.1.2021.pdf
125,Maine,Multisystemic Therapy,,MST,12,18,Well-Supported,,,,High,,,https://www.maine.gov/dhhs/sites/maine.gov.dhhs/files/inline-files/Maine%20Family%20First%20Prevention%20Services%20State%20Plan%20FINAL%202.1.2021.pdf
126,Maine,Trauma Focused Cognitive Behavioral Therapy,,TF-CBT,5,17,Promising,,,,High,,,https://www.maine.gov/dhhs/sites/maine.gov.dhhs/files/inline-files/Maine%20Family%20First%20Prevention%20Services%20State%20Plan%20FINAL%202.1.2021.pdf
